,UK,USA,France,Germany,Spain,South Korea
degC,degC,degF,degF,degF,degF,degF
hbp,60,50,64,59,59,59
cbp,200,65,,,,
bin1,30,30,30,30,30,30
bin2,45,45,45,45,45,45
bin3,55,55,55,55,55,55
bin4,65,65,65,65,65,65
bin5,75,75,75,75,75,75
bin6,90,90,90,90,90,90
,,,,,,
,,,,,,
,,,,,,
References,,,,,,
https://support.dexma.com/hc/en-gb/articles/360007866374-Degree-Days-in-DEXMA,"France, UK, Spain base temperatures",,,,,
https://journals.ametsoc.org/view/journals/apme/53/2/jamc-d-13-0220.1.xml,"Germany, South Korea base temperatures",,,,,
